Grade,Subject,Unit,Chapter,Topic_ID,Topic,Concept,concept_code,CoreConcept,CooboTitles,Scriptwriting,MediaFile,Production,LengthofCoboo,test
11,Mathematics,Coordinate Geometry,Straight Lines,122592,Basics of 2D Coordinate Geometry,Rectangular Cartesian Coordinate System,newkg9535,2D Coordinate System,Basics of 2D Coordinate Geometry,1,1,3,0,9
11,Mathematics,Coordinate Geometry,Straight Lines,122592,Basics of 2D Coordinate Geometry,Quadrants of 2D Plane,newkg9536,2D Coordinate System,Basics of 2D Coordinate Geometry,2,1,2,3,5
11,Mathematics,Coordinate Geometry,Straight Lines,122592,Basics of 2D Coordinate Geometry,A Point in 2D Coordinate System,newkg9537,2D Coordinate System,Basics of 2D Coordinate Geometry,0,0,0,0,8
11,Mathematics,Coordinate Geometry,Straight Lines,122592,Basics of 2D Coordinate Geometry,Locus of a Point,newkg9593,2D Coordinate System,Basics of 2D Coordinate Geometry,0,0,0,0,6
11,Physics,Mechanics,Motion in a Plane,122708,"Position Vector, Displacement, Velocity and Acceleration",Position Vector of an Object in 2D Motion,newkg12208,2D Motion,"Position Vector, Displacement, Velocity and Acceleration",2,1,0,0,9
11,Physics,Mechanics,Motion in a Plane,122708,"Position Vector, Displacement, Velocity and Acceleration",Displacement Vector of an Object in 2D Motion,newkg12209,2D Motion,"Position Vector, Displacement, Velocity and Acceleration",3,1,4,3,5
11,Physics,Mechanics,Motion in a Plane,122708,"Position Vector, Displacement, Velocity and Acceleration",Velocity Vector of an Object in 2D Motion,newkg12210,2D Motion,"Position Vector, Displacement, Velocity and Acceleration",1,2,1,4,4
11,Physics,Mechanics,Motion in a Plane,122708,"Position Vector, Displacement, Velocity and Acceleration",Acceleration Vector of an Object in 2D Motion,newkg12214,2D Motion,"Position Vector, Displacement, Velocity and Acceleration",3,4,3,2,7
11,Physics,Mechanics,Motion in a Plane,122709,Motion in a plane with constant acceleration,Uniform Acceleration in 2D Motion,newkg12218,2D Motion,"Position Vector, Displacement, Velocity and Acceleration",1,3,0,0,7
11,Mathematics,Coordinate Geometry,Introduction to Three Dimensional Geometry,122613,Coordinate Axes and Coordinate Planes in 3D,Coordinates Axes in 3D,newkg9757,3D Cartesian Coordinate System,Coordinate Axes and Coordinate Planes in 3D,1,1,4,3,7
11,Mathematics,Coordinate Geometry,Introduction to Three Dimensional Geometry,122613,Coordinate Axes and Coordinate Planes in 3D,Coordinate Planes in 3D,newkg9758,3D Cartesian Coordinate System,Coordinate Axes and Coordinate Planes in 3D,0,0,0,0,9
11,Mathematics,Coordinate Geometry,Introduction to Three Dimensional Geometry,122613,Coordinate Axes and Coordinate Planes in 3D,Octants in 3D Cartesian Coordinate System,newkg9759,3D Cartesian Coordinate System,Coordinate Axes and Coordinate Planes in 3D,0,0,0,0,4
11,Mathematics,Coordinate Geometry,Introduction to Three Dimensional Geometry,122613,Coordinate Axes and Coordinate Planes in 3D,3D Cartesian Coordinate System,newkg9756,3D Geometry,Coordinate Axes and Coordinate Planes in 3D,0,0,0,0,10
11,Mathematics,Coordinate Geometry,Straight Lines,122592,Basics of 2D Coordinate Geometry,Distance of a Point from the Axes,newkg9538,A Point in 2D Coordinate System,A Point in 2D Coordinate System,2,3,4,2,9
11,Mathematics,Coordinate Geometry,Straight Lines,122592,Basics of 2D Coordinate Geometry,Distance of a Point from the Origin,newkg9539,A Point in 2D Coordinate System,A Point in 2D Coordinate System,1,2,3,4,10
11,Mathematics,Coordinate Geometry,Straight Lines,122592,Basics of 2D Coordinate Geometry,Foot of Perpendicular from a Point to the Axes,newkg9540,A Point in 2D Coordinate System,A Point in 2D Coordinate System,1,3,2,1,7
11,Mathematics,Coordinate Geometry,Straight Lines,122592,Basics of 2D Coordinate Geometry,Distance between Two Points,newkg9541,A Point in 2D Coordinate System,A Point in 2D Coordinate System,3,2,2,3,8
11,Mathematics,Coordinate Geometry,Straight Lines,122592,Basics of 2D Coordinate Geometry,Section Formula,newkg9544,A Point in 2D Coordinate System,A Point in 2D Coordinate System,3,2,0,0,6
11,Mathematics,Coordinate Geometry,Introduction to Three Dimensional Geometry,122613,Coordinate Axes and Coordinate Planes in 3D,Distances of a Point from Coordinate Planes,newkg9762,A Point in 3D Cartesian Coordinate System,A Point in 3D Cartesian Coordinate System,4,4,0,0,5
11,Mathematics,Coordinate Geometry,Introduction to Three Dimensional Geometry,122613,Coordinate Axes and Coordinate Planes in 3D,Feet of Perpendiculars from a Point to the Coordinate Planes,newkg9763,A Point in 3D Cartesian Coordinate System,A Point in 3D Cartesian Coordinate System,2,3,2,1,8
11,Mathematics,Coordinate Geometry,Introduction to Three Dimensional Geometry,122613,Coordinate Axes and Coordinate Planes in 3D,Distances of a Point from Coordinate Axes,newkg9764,A Point in 3D Cartesian Coordinate System,A Point in 3D Cartesian Coordinate System,4,4,2,4,5
11,Mathematics,Coordinate Geometry,Introduction to Three Dimensional Geometry,122613,Coordinate Axes and Coordinate Planes in 3D,Feet of Perpendiculars from a Point to the Coordinate Axes,newkg9765,A Point in 3D Cartesian Coordinate System,A Point in 3D Cartesian Coordinate System,3,3,2,1,8
11,Mathematics,Coordinate Geometry,Introduction to Three Dimensional Geometry,122613,Coordinate Axes and Coordinate Planes in 3D,A Point in 3D Cartesian Coordinate System,newkg9761,A Point in 3D Space,A Point in 3D Cartesian Coordinate System,4,0,0,0,9
11,Biology,Human Physiology,Chemical Coordination and Integration,123077,Endocrine Glands and Hormones,Growth Hormone,newkg8332,Adenohypophysis,Anterior Pituitary Hormones,4,4,0,0,4
11,Biology,Human Physiology,Chemical Coordination and Integration,123077,Endocrine Glands and Hormones,Prolactin Hormone,newkg8333,Adenohypophysis,Anterior Pituitary Hormones,0,0,0,0,8
11,Biology,Human Physiology,Chemical Coordination and Integration,123077,Endocrine Glands and Hormones,Thyroid Stimulating Hormone,newkg8334,Adenohypophysis,Anterior Pituitary Hormones,2,0,0,0,9
11,Biology,Human Physiology,Chemical Coordination and Integration,123077,Endocrine Glands and Hormones,Adrenocorticotropic Hormone,newkg8335,Adenohypophysis,Anterior Pituitary Hormones,4,3,3,1,7
11,Biology,Human Physiology,Chemical Coordination and Integration,123077,Endocrine Glands and Hormones,Luteinizing Hormone,newkg8336,Adenohypophysis,Anterior Pituitary Hormones,0,0,0,0,6
11,Biology,Human Physiology,Chemical Coordination and Integration,123077,Endocrine Glands and Hormones,Follicle Stimulating Hormone,newkg8337,Adenohypophysis,Anterior Pituitary Hormones,3,0,0,0,4
11,Biology,Human Physiology,Chemical Coordination and Integration,123077,Endocrine Glands and Hormones,Zona Reticularis,newkg8364,Adrenal Cortex,The Adrenal Gland,3,0,0,0,4
11,Biology,Human Physiology,Chemical Coordination and Integration,123077,Endocrine Glands and Hormones,Zona Fasciculata,newkg8365,Adrenal Cortex,The Adrenal Gland,1,0,0,0,10
